id,name,lat,lon,region,break_type,difficulty,coast_orientation_deg,swell_min_deg,swell_max_deg,wind_offshore_min_deg,wind_offshore_max_deg,tide_preference,cdip_transect_id
northern-mendocino-camping-and-surf-adventure,Northern Mendocino Camping and Surf Adventure,39.613805,-123.781866,Mendocino,beach,intermediate,280,230,320,60,140,any,M0778
camp-at-usal-beach-on-the-lost-coast,Camp at Usal Beach on the Lost Coast,39.83464558,-123.8442173,Mendocino,beach,intermediate,280,230,320,60,140,any,M0922
camp-and-surf-jalama-beach,Camp and Surf Jalama Beach,34.509846,-120.5010166,Lompoc,beach,advanced,230,180,320,10,90,any,B1086
camp-at-refugio-campground,Camp at Refugio Campground,34.4641472,-120.0665344,Santa Barbara,point,beginner,180,240,300,330,50,any,B0620
camp-at-el-capitan-canyon,Camp at El Capitan Canyon,34.4652608,-120.0249947,Santa Barbara,point,intermediate,180,240,300,330,50,low,B0570
camp-at-carpinteria-state-beach,Camp at Carpinteria State Beach,34.3926449,-119.5216464,Santa Barbara,beach,beginner,180,240,300,330,50,any,B0044
surf-rincon-point,Surf Rincon Point,34.3733288,-119.4784539,Ventura,point,intermediate,200,240,300,350,70,low,B0001
surf-emma-wood-state-beach,Surf Emma Wood State Beach,34.2932299,-119.3398523,Ventura,beach,intermediate,200,240,300,350,70,any,VE482
surf-ventura-point,Surf Ventura Point,34.27426184,-119.2995644,Ventura,point,intermediate,200,240,300,350,70,any,VE463
camp-at-thornhill-broome-state-beach,Camp at Thornhill Broome State Beach,34.08231933,-119.0332763,Ventura,beach,intermediate,210,180,280,340,60,any,VE094
surf-zuma-beach,Surf Zuma Beach,34.0280826,-118.8393009,Malibu,beach,intermediate,190,160,280,340,60,any,L1083
photograph-the-iconic-malibu-pier,Photograph the Iconic Malibu Pier,34.0374731,-118.6768142,Malibu,point,intermediate,170,160,260,320,40,any,L0903
take-a-sunset-surf-at-manhattan-beach,Take a Sunset Surf at Manhattan Beach,33.88435139,-118.4118478,LA,beach,intermediate,250,220,290,20,100,any,L0578
catch-a-sunset-at-bluff-cove,Catch a Sunset at Bluff Cove,33.79760933,-118.4063477,Palos Verdes,reef,advanced,270,220,310,40,120,any,L0437
catch-some-rays-at-seal-beach,Catch Some Rays at Seal Beach,33.7382572,-118.1070869,Orange County,beach,beginner,210,160,240,340,60,any,OC661
catch-a-sunset-at-sunset-beach-in-ca,Catch a Sunset at Sunset Beach in CA,33.7241799,-118.079103,Orange County,beach,beginner,220,160,280,10,90,any,OC618
spend-a-day-at-the-huntington-beach-pier,Spend a Day at the Huntington Beach Pier,33.656455,-118.002735,Orange County,beach,intermediate,220,160,300,10,90,any,OC515
catch-a-sunset-at-newport-pier,Catch a Sunset at Newport Pier,33.6079643,-117.9285282,Orange County,beach,intermediate,220,160,300,10,90,any,OC427
bodysurfing-and-photography-at-the-wedge,Bodysurfing and Photography at The Wedge,33.5953457,-117.8822631,Newport Beach,beach,advanced,160,160,210,300,40,high,OC381
stand-up-paddleboard-fisherman's-cove,Stand Up Paddleboard Fisherman's Cove,33.54539512,-117.7956417,Laguna Beach,reef,intermediate,230,180,300,20,100,any,OC274
surf-brooks-street-beach,Surf Brooks Street Beach,33.5328525,-117.7773389,Laguna Beach,reef,advanced,230,180,300,20,100,any,OC256
exploring-pearl-street-beach's-arch-rock,Exploring Pearl Street Beach's Arch Rock,33.5278038,-117.7728325,Laguna Beach,reef,intermediate,230,180,300,20,100,any,OC249
surf-salt-creek,Surf Salt Creek,33.47730464,-117.7190185,Dana Point,point,intermediate,230,180,300,20,100,any,OC175
beach-day-at-san-onofre,Beach Day at San Onofre,33.3765334,-117.5654389,San Clemente,point,beginner,220,180,280,10,90,any,D1209
camp-at-san-mateo-campground,Camp at San Mateo Campground,33.4082904,-117.5850742,San Clemente,point,beginner,220,180,280,10,90,any,OC016
"surf-the-south-jetty,-oceanside-harbor","Surf the South Jetty, Oceanside Harbor",33.20318513,-117.3919054,Oceanside,beach,intermediate,240,200,300,30,110,any,D0927
